# Renewables.ninja Solar PV (Point API) - 47.285, -1.517 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "47.2846", "lon": "-1.5167", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,-2.156,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,-1.990,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,-1.966,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,-2.009,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,-2.010,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,-2.051,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,-2.182,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,-2.305,0
2015-01-01 08:00,2015-01-01 09:00,0.021,0.025,0.010,-1.044,0
2015-01-01 09:00,2015-01-01 10:00,0.277,0.254,0.046,0.942,0
2015-01-01 10:00,2015-01-01 11:00,0.478,0.452,0.069,2.504,0
2015-01-01 11:00,2015-01-01 12:00,0.590,0.570,0.086,4.015,0
2015-01-01 12:00,2015-01-01 13:00,0.565,0.512,0.116,5.045,0
2015-01-01 13:00,2015-01-01 14:00,0.556,0.511,0.108,5.199,0
2015-01-01 14:00,2015-01-01 15:00,0.411,0.346,0.104,3.986,0
2015-01-01 15:00,2015-01-01 16:00,0.122,0.074,0.069,2.180,0
2015-01-01 16:00,2015-01-01 17:00,0.006,0.007,0.009,1.469,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,1.828,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,1.952,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,1.457,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,1.769,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,2.443,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,3.283,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,4.295,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,5.320,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,6.159,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,6.745,0
2015-01-02 03:00,2015-01-02 04:00,0,0,0,7.278,0
2015-01-02 04:00,2015-01-02 05:00,0,0,0,7.800,0
2015-01-02 05:00,2015-01-02 06:00,0,0,0,8.415,0
2015-01-02 06:00,2015-01-02 07:00,0,0,0,9.155,0
2015-01-02 07:00,2015-01-02 08:00,0,0,0,9.529,0
2015-01-02 08:00,2015-01-02 09:00,0,0,0.004,9.691,0
2015-01-02 09:00,2015-01-02 10:00,0.017,0.001,0.031,9.712,0
2015-01-02 10:00,2015-01-02 11:00,0.027,0,0.044,9.958,0
2015-01-02 11:00,2015-01-02 12:00,0.081,0.006,0.098,10.614,0
2015-01-02 12:00,2015-01-02 13:00,0.117,0.013,0.129,11.462,0
2015-01-02 13:00,2015-01-02 14:00,0.102,0.009,0.118,11.896,0
2015-01-02 14:00,2015-01-02 15:00,0.076,0.009,0.089,11.448,0
2015-01-02 15:00,2015-01-02 16:00,0.076,0.039,0.059,9.773,0
2015-01-02 16:00,2015-01-02 17:00,0.001,0.001,0.007,8.058,0
2015-01-02 17:00,2015-01-02 18:00,0,0,0,6.668,0
2015-01-02 18:00,2015-01-02 19:00,0,0,0,5.891,0
2015-01-02 19:00,2015-01-02 20:00,0,0,0,5.522,0
2015-01-02 20:00,2015-01-02 21:00,0,0,0,5.626,0
2015-01-02 21:00,2015-01-02 22:00,0,0,0,6.055,0
2015-01-02 22:00,2015-01-02 23:00,0,0,0,5.913,0
2015-01-02 23:00,2015-01-03 00:00,0,0,0,5.470,0
2015-01-03 00:00,2015-01-03 01:00,0,0,0,5.169,0
2015-01-03 01:00,2015-01-03 02:00,0,0,0,5.081,0
2015-01-03 02:00,2015-01-03 03:00,0,0,0,5.340,0
2015-01-03 03:00,2015-01-03 04:00,0,0,0,6.821,0
2015-01-03 04:00,2015-01-03 05:00,0,0,0,9.211,0
2015-01-03 05:00,2015-01-03 06:00,0,0,0,11.552,0
2015-01-03 06:00,2015-01-03 07:00,0,0,0,12.614,0
2015-01-03 07:00,2015-01-03 08:00,0,0,0,12.975,0
2015-01-03 08:00,2015-01-03 09:00,0,0,0.005,13.231,0
2015-01-03 09:00,2015-01-03 10:00,0.010,0,0.023,13.602,0
2015-01-03 10:00,2015-01-03 11:00,0.036,0,0.054,13.873,0
2015-01-03 11:00,2015-01-03 12:00,0.140,0.063,0.105,14.120,0
2015-01-03 12:00,2015-01-03 13:00,0.069,0.007,0.084,14.188,0
2015-01-03 13:00,2015-01-03 14:00,0.041,0,0.060,14.049,0
2015-01-03 14:00,2015-01-03 15:00,0.026,0.001,0.043,13.781,0
2015-01-03 15:00,2015-01-03 16:00,0.022,0.003,0.035,13.465,0
2015-01-03 16:00,2015-01-03 17:00,0.001,0.002,0.007,13.200,0
2015-01-03 17:00,2015-01-03 18:00,0,0,0,13.060,0
2015-01-03 18:00,2015-01-03 19:00,0,0,0,12.638,0
2015-01-03 19:00,2015-01-03 20:00,0,0,0,12.437,0
2015-01-03 20:00,2015-01-03 21:00,0,0,0,12.197,0
2015-01-03 21:00,2015-01-03 22:00,0,0,0,11.987,0
2015-01-03 22:00,2015-01-03 23:00,0,0,0,11.798,0
2015-01-03 23:00,2015-01-04 00:00,0,0,0,11.631,0
2015-01-04 00:00,2015-01-04 01:00,0,0,0,11.368,0
2015-01-04 01:00,2015-01-04 02:00,0,0,0,11.116,0
2015-01-04 02:00,2015-01-04 03:00,0,0,0,10.984,0
2015-01-04 03:00,2015-01-04 04:00,0,0,0,10.722,0
2015-01-04 04:00,2015-01-04 05:00,0,0,0,10.296,0
2015-01-04 05:00,2015-01-04 06:00,0,0,0,9.915,0
2015-01-04 06:00,2015-01-04 07:00,0,0,0,9.531,0
2015-01-04 07:00,2015-01-04 08:00,0,0,0,8.989,0
2015-01-04 08:00,2015-01-04 09:00,0.005,0.006,0.009,9.286,0
2015-01-04 09:00,2015-01-04 10:00,0.057,0.023,0.055,10.853,0
2015-01-04 10:00,2015-01-04 11:00,0.117,0.043,0.100,11.706,0
2015-01-04 11:00,2015-01-04 12:00,0.149,0.055,0.123,12.733,0
2015-01-04 12:00,2015-01-04 13:00,0.110,0.015,0.121,13.031,0
2015-01-04 13:00,2015-01-04 14:00,0.143,0.049,0.121,12.850,0
2015-01-04 14:00,2015-01-04 15:00,0.027,0,0.044,12.572,0
2015-01-04 15:00,2015-01-04 16:00,0.004,0,0.014,11.896,0
2015-01-04 16:00,2015-01-04 17:00,0,0,0.002,10.967,0
2015-01-04 17:00,2015-01-04 18:00,0,0,0,10.315,0
2015-01-04 18:00,2015-01-04 19:00,0,0,0,9.751,0
2015-01-04 19:00,2015-01-04 20:00,0,0,0,9.182,0
2015-01-04 20:00,2015-01-04 21:00,0,0,0,8.663,0
2015-01-04 21:00,2015-01-04 22:00,0,0,0,8.291,0
